id,teacher_id,skill_id,test_id,question,question_type,options,correct_answer,user_answer,correct,explanation,difficulty
1,2,2,1,How does Machine Learning primarily differ from traditional programming?,multiple_choice,"{'"a'": '"Machine Learning involves systems learning from data, while traditional programming involves following explicit, pre-written instructions.'", '"b'": '"Machine Learning uses newer programming languages, while traditional programming uses older ones.'", '"c'": '"Traditional programming is used for simple tasks, while Machine Learning is only for complex scientific research.'", '"d'": '"Traditional programming requires the internet, while Machine Learning can work offline.'"}",a,,f,"The core difference is the approach: traditional programming relies on explicit instructions (a formula), whereas ML relies on the system finding patterns in data to ''learn'' the rules itself.",easy
2,2,2,1,"An educational app adjusts the difficulty of maths problems for a student. If the student answers correctly, they get a slightly harder problem (a ''reward''). If they answer incorrectly, they get an easier one (a ''penalty''). This is an example of which type of Machine Learning?",multiple_choice,"{'"a'": '"Supervised Learning'", '"b'": '"Unsupervised Learning'", '"c'": '"Reinforcement Learning'", '"d'": '"Traditional Programming'"}",c,,f,"This system learns through trial and error, using rewards and penalties to optimise its actions (choosing the next question), which is the definition of Reinforcement Learning.",medium
3,2,2,1,What is the most significant benefit of using Machine Learning to create personalized learning paths in a classroom?,multiple_choice,"{'"a'": '"It ensures all students learn at the exact same pace.'", '"b'": '"It replaces the need for teachers to create lesson plans.'", '"c'": '"It allows the curriculum''s pace and content to adapt to each student''s individual needs and abilities.'", '"d'": '"It automatically grades all student assignments without any teacher input.'"}",c,,f,"The main advantage of personalization is its ability to adapt to individual student needs, providing tailored challenges and support to optimize learning for everyone.",easy
4,2,2,1,"If an ML model for identifying ''at-risk'' students is trained primarily on data from schools in wealthy neighbourhoods, what is the most significant ethical risk when it is used in a school in a low-income area?",multiple_choice,"{'"a'": '"The model will be too slow to process the new data.'", '"b'": '"The model will protect student data more effectively.'", '"c'": '"The model may contain algorithmic bias and fail to accurately identify at-risk students because it was not trained on relevant data.'", '"d'": '"The model will be too expensive for the low-income school to use.'"}",c,,f,"Training data that is not representative of the population it will be used on is a primary cause of algorithmic bias. The model''s definition of ''at-risk'' may not apply to the new context, leading to inaccurate and unfair predictions.",hard
5,2,2,1,Which statement best describes the recommended role of a teacher when implementing ML tools in the classroom?,multiple_choice,"{'"a'": '"The teacher should let the ML tools manage all aspects of teaching and learning.'", '"b'": '"The teacher''s role becomes obsolete as the technology improves.'", '"c'": '"The teacher should use ML tools as a support system to automate tasks and gain insights, while maintaining their central role in mentoring and guiding students.'", '"d'": '"The teacher''s primary new role is to become an expert programmer to fix the ML software.'"}",c,,f,"ML is a tool to augment, not replace, the teacher. Its best use is to handle data analysis and routine tasks, freeing the teacher to focus on the essential human elements of education like mentorship, inspiration, and emotional support.",medium
6,2,3,2,"A teacher gives a short, ungraded quiz at the end of a lesson to see which students understood the main concept. What type of data is this?",multiple_choice,"{'"a'": '"Summative and Quantitative'", '"b'": '"Formative and Quantitative'", '"c'": '"Summative and Qualitative'", '"d'": '"Formative and Qualitative'"}",b,,f,This is formative data because its purpose is to inform instruction during the learning process. It is quantitative because it involves countable scores from the quiz.,easy
7,2,3,2,What is the primary reason for a teacher to analyse student data?,multiple_choice,"{'"a'": '"To rank students from best to worst for the school administration.'", '"b'": '"To generate complex statistical reports.'", '"c'": '"To make informed decisions about how to adjust teaching strategies.'", '"d'": '"To replace professional judgment with objective numbers.'"}",c,,f,The main goal of data analysis in education is to gain insights that help a teacher improve and tailor their instruction to better meet student needs.,medium
8,2,3,2,"When organising student scores in a spreadsheet, what is the best practice?",multiple_choice,"{'"a'": '"Use a new sheet for every single assignment.'", '"b'": '"Place each student in a separate column and each assignment in a separate row.'", '"c'": '"Place each student in a separate row and each piece of data (e.g., an assignment score) in a separate column.'", '"d'": '"Mix qualitative notes and number scores in the same column to save space.'"}",c,,f,"Standard practice for organising data is to have each case (a student) as a row and each variable (a piece of data) as a column. This makes the data easy to sort, filter, and analyse.",easy
9,2,3,2,"After a science test, a teacher calculates the class average (mean) score and finds it is 45%. What is the most likely interpretation of this data?",multiple_choice,"{'"a'": '"The students are not intelligent enough for this subject.'", '"b'": '"The test was too easy for the majority of the class.'", '"c'": '"The teaching method or the difficulty of the content may need to be reviewed.'", '"d'": '"A few very high-scoring students skewed the results.'"}",c,,f,"A low class average strongly suggests a mismatch between the instruction and the assessment. It''s a signal for the teacher to reflect on their teaching strategy and the difficulty of the topic, rather than blaming the students.",medium
10,2,3,2,A teacher notices from her mark book that five students who sit at the back of the class have failed the last two maths quizzes. What is the best data-informed action to take next?,multiple_choice,"{'"a'": '"Report the five students to the head teacher for poor performance.'", '"b'": '"Conclude that students at the back of the class are not serious.'", '"c'": '"Move the students to the front and provide them with extra support lessons on the topics they failed.'", '"d'": '"Give the entire class the same quizzes again until everyone passes.'"}",c,,f,"This action directly addresses the pattern found in the data (poor performance of a specific group) with a supportive, targeted intervention designed to improve their learning.",hard
21,2,6,5,"What is the fundamental unit of a neural network, inspired by the human brain?",multiple_choice,"{'"a'": '"Neuron or Node'", '"b'": '"Pixel'", '"c'": '"Algorithm'", '"d'": '"Data Layer'"}",a,a,t,"The basic processing units of a neural network are called artificial neurons or nodes, which are modelled after the neurons in the human brain.",easy
