id,teacher_id,title,description,level,total_sections,category,estimated_duration,thumbnail_url,created_at
1,2,AI Basics,"This module provides a foundational understanding of Artificial Intelligence (AI) for educators. You will learn what AI is, explore its different types, and discover its practical applications and ethical considerations within the educational landscape. This skill is essential for teachers looking to demystify AI and confidently integrate modern technology into their teaching practices to enhance learning and save time.",beginner,3,AI Literacy,1 hour 45 minutes,https://images.unsplash.com/photo-1531746790731-6c087fecd65a?q=80&w=2070&auto=format&fit=crop,2025-10-10 12:19:09.626266
2,2,Machine Learning,"This module provides a beginner-friendly introduction to the core concepts of Machine Learning (ML). Educators will learn what ML is, how it works, and its practical applications within the classroom. By understanding this powerful technology, teachers can better evaluate and utilise AI-powered educational tools, personalise learning experiences for their students, and prepare for the future of education. This skill is essential for developing AI literacy and leveraging technology to enhance teaching and learning outcomes.",beginner,3,AI Literacy,1 hour 40 minutes,https://images.unsplash.com/photo-1534723328310-e82dad3ee43f?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb,2025-10-10 13:11:52.488122
3,2,Data Analysis,"This module introduces educators to the fundamentals of data analysis in the classroom. You will learn how to collect, organise, and interpret student data to make informed instructional decisions. By understanding the stories hidden within numbers and observations, teachers can better identify student needs, tailor their teaching methods, and ultimately create a more effective and supportive learning environment for every child. This skill is essential for moving from guesswork to evidence-based practice in modern education.",beginner,3,Pedagogy,1 hour 45 minutes,https://images.unsplash.com/photo-1543286386-71314a00d5a2?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2025-10-10 13:16:06.185897
4,2,Database Management System,"This module introduces educators to the fundamentals of Database Management Systems (DBMS). You will learn what a database is, how a DBMS works to organise and protect information, and why this technology is the backbone of modern school administration. From managing student records and grades to powering library systems and online learning platforms, understanding databases will empower you to use educational technology more effectively and appreciate the importance of data integrity and security in your professional practice.",beginner,4,Digital Skills,1 hour 50 minutes,https://images.unsplash.com/photo-1593642532400-2682810df593?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1169&q=80,2025-10-10 16:35:40.062947
5,2,Graphics Design,"This module introduces educators to the fundamental principles of graphic design. In today''s digital classroom, the ability to create visually engaging and clear educational materials is essential for capturing student attention and improving learning outcomes. This course will equip you with the foundational knowledge of design principles, colour theory, and typography, and provide practical skills using accessible tools like Canva. By the end of this module, you will be able to design professional-looking worksheets, presentations, and classroom posters that communicate information effectively and inspire your students.",beginner,4,Digital Skills,2 hours,https://images.unsplash.com/photo-1572044162444-24c95621ec50?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2025-10-10 20:38:26.559375
6,2,Neural Network,"This module introduces educators to the fundamental concepts of Neural Networks, the technology powering many modern Artificial Intelligence tools. You will learn what neural networks are, how they learn from data, and see real-world examples in your daily life and in educational technology. Understanding these basics is crucial for educators to critically evaluate and effectively integrate AI tools into their teaching practice, preparing both teachers and students for a future shaped by AI.",beginner,4,AI Literacy,1 hour 40 minutes,https://images.unsplash.com/photo-1535223289827-42f1e9919769?q=80&w=2787&auto=format&fit=crop,2025-10-10 20:41:33.241827
7,2,Natural Language Processing,"This intermediate module empowers educators to understand and leverage Natural Language Processing (NLP), the branch of Artificial Intelligence that helps computers understand human language. Discover how NLP is transforming education by enabling automated feedback, personalized learning paths, and intelligent content creation. This skill is crucial for teachers who want to innovate their instructional methods, save valuable time on administrative tasks, and equip students with the critical literacy skills needed for an AI-driven world.",intermediate,4,AI Literacy,1 hour 40 minutes,https://images.unsplash.com/photo-1555949963-ff9fe0c870eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=MnwzODkyfDB8MXxzZWFyY2h8MTB8fGFpJTIwbGFuZ3VhZ2V8ZW58MHx8fHwxNjE5MjE0MzEw&ixlib=rb-1.2.1&q=80&w=1080,2025-10-10 22:18:24.436256
8,2,Powerpoint Presentation,"This module empowers educators to create dynamic, engaging, and professional presentations using Microsoft PowerPoint. As a teacher, your ability to present information clearly is essential for student success. This course will guide you from the very basics of the PowerPoint interface to building well-structured slides with text, visuals, and charts. You will learn how to design lessons that capture student attention, simplify complex topics, and create valuable learning resources that can be shared and reused. Mastering this skill is fundamental for modern teaching, enabling you to enhance your classroom instruction and professional communications.",beginner,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1543286386-713bdd548da4?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=eyJhcHBfaWQiOjEyMDd9,2025-10-10 22:22:45.806943
9,3,Web Design,"This module introduces educators to the foundational principles and skills of web design. In today''s digital age, a teacher''s ability to create and manage online spaces is invaluable. This skill empowers you to build simple, effective websites for your classroom, share resources, showcase student work, and improve communication with parents and students. By understanding the basics of web design, you can create engaging, accessible, and professional online hubs that extend learning beyond the physical classroom, fostering a more connected and digitally literate educational community.",beginner,3,Digital Skills,1 hour 20 minutes,https://images.unsplash.com/photo-1542831371-29b0f74f9713?q=80&w=2070&auto=format&fit=crop,2025-10-10 22:41:46.473521
10,2,Computer Vision in ML,"This module introduces educators to the fascinating world of Computer Vision, a key field within Machine Learning and Artificial Intelligence. You will learn how we can teach computers to ''see'' and interpret visual information from images and videos, just like humans do. This skill is vital for educators in the 21st century, not just as a technical concept, but as a force shaping our students'' world. Understanding Computer Vision will empower you to lead critical discussions on modern technology, from smartphone apps to future careers, and to envision new, innovative ways to engage learners in the classroom.",beginner,3,AI Literacy,1 hour 15 minutes,https://images.unsplash.com/photo-1599658880436-c61792e70672?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1470&q=80,2025-10-11 16:25:53.987316
