id,teacher_id,skill,level,last_practiced
c7626b77-86be-4a78-8f42-754ec6736e21,e59fc076-f6f8-4b74-b556-9e3ec0d2e336,Lesson design,intermediate,2025-09-22 16:24:59
289dcf8a-d7ac-412a-9b95-cd201e3af877,0e97f849-b145-4580-924e-51dbb636ff84,PowerPoint,beginner,2025-09-08 00:25:56
836765fc-751b-464b-aab6-0ff9645f88fa,51b926ab-0081-4cc9-83c9-f5b08edd4960,Words,intermediate,2025-07-18 17:04:04
f7b98dbc-f14a-4d5b-a142-d8dd0498ba0b,a111e987-763c-460a-9875-767c06987111,Excel for educators,advanced,2025-08-29 22:40:41
3877b5ba-0335-4c1c-8495-3000bb447421,2c4917f6-eb1d-4c4b-98e6-0f8808b862c2,PowerPoint,intermediate,2025-07-03 19:35:49
ecf8f022-5ed6-4697-86f2-fec448fb318f,10590b11-d472-4b8b-8c31-13e006c834cb,STEM integration,beginner,2025-09-28 18:43:07
071cdbe5-9b2e-43b6-86c4-2fe4d22ddfeb,cbe45a1c-9a5a-4943-a029-5ace9487f840,Excel for educators,advanced,2025-09-03 16:52:57
4efbb200-2974-4cf5-81ec-7b208ef3124f,1466ee98-8a2e-442a-8c58-f9a94a275edd,Excel for educators,intermediate,2025-06-21 17:46:09
a2537b5b-3032-4a67-bfd5-1efba4bcf4b9,e38a283b-bd70-4fcc-8483-a6d29103be3f,Robotics intro,advanced,2025-06-05 08:12:06
378c4d71-e02b-44f6-9723-049dd253af6d,f4f1ef91-27b3-40ef-93d1-10d453f8fbbe,Google Classroom,beginner,2025-05-26 22:38:34
9fc76f27-5d32-40cd-b339-26f378930d13,eb8a49c7-20f4-46ac-a10a-94fa38d5ff98,PowerPoint,intermediate,2025-06-16 18:52:17
c6dd9b5e-b79b-425d-8eb1-173721b7fce9,eab8f5a7-2e76-459d-9953-7274fd59c166,Words,intermediate,2025-05-24 18:01:41
7328ef77-8462-4835-b627-1f7f4b65f752,5746cc66-7cf9-4165-81aa-5381e1506e40,Words,advanced,2025-07-30 12:03:34
68d95f2b-2283-456a-a8b1-32d6a01391a2,84d3147b-70ec-4c18-821a-d8dd391f83f5,Lesson design,intermediate,2025-07-26 10:58:42
7071013a-a45a-429c-a750-b1fe82129b23,cf1aa4c1-52be-48c6-a5a4-a31d6aaa58b0,Words,intermediate,2025-05-26 09:48:52
931e17c5-70a6-4d29-aa5d-1037a8484a18,0077dae3-efb8-4d54-9c96-fe359aa54aeb,Google Classroom,beginner,2025-03-09 23:41:25
09b227d2-76e4-4dc6-8c76-58cbb56a825b,f902559d-5ea3-422e-ae15-3937bb8067f4,Digital literacy,intermediate,2025-03-25 23:45:40
c72144d9-20fd-4cf5-b104-3966d5790c80,a28d2f5b-4965-4a11-a256-10fe702af651,Excel for educators,beginner,2025-03-20 08:21:48
b64d3e4c-3fce-4e94-a8e1-d0e361cd48a1,0aa431da-4b91-4283-a73f-c2610eb31727,STEM integration,beginner,2025-04-09 05:18:13
7b1cc046-0a91-469a-ae4f-a8f6d2c44866,d3bd2525-78eb-4ef2-a6f4-c7de3aff3536,Words,advanced,2025-07-02 05:52:54
89b9136f-1ea3-4ede-81b8-20bc8066b349,3198f726-6b4d-4a3b-8085-319cfd7da8fb,AI basics,advanced,2025-02-17 17:36:42
0a81dd23-72e6-4b87-9ed5-b4eaebb9a965,81327410-8095-4eee-a82e-a061f7e565fa,STEM integration,beginner,2025-02-04 21:29:06
27e7535c-1ca3-4425-bd33-a17fdbc3ae28,8b88453f-3964-4ecf-909d-35d9a9d20136,STEM integration,beginner,2025-06-03 20:34:43
60e6e543-ed2b-4f83-a5a3-163609d86825,4c2f5a9d-d7c7-444e-add7-63cf6b4e7449,Python for teaching,beginner,2025-02-23 06:30:17
8fc7251f-8356-49cd-bb06-efb2bf0c900b,cfa09416-ea00-4f03-a80b-f8288ed60154,Python for teaching,advanced,2025-07-09 09:13:17
7a860fe9-f293-46f3-bc65-9ba096359d6f,23312688-261a-42ff-a6f4-3ca334786fab,PowerPoint,intermediate,2025-04-13 15:51:11
2cb7204f-9be3-46cd-8323-cf07b4d85c88,59c84f28-b616-423b-8b17-1e9626db4862,Python for teaching,advanced,2025-01-31 09:56:07
0f264342-464b-451d-b4ea-c0df60c0738e,df6760f0-ac0b-48a9-963a-d25f6de9aed2,PowerPoint,advanced,2025-07-03 09:57:28
43716ddc-e8ba-4b6f-8b21-aeca2fcd4779,ca2c49be-5dcc-408f-8405-bcf2b8719d57,Excel for educators,advanced,2025-05-20 01:33:00
15d1b0ff-6692-4f10-80a2-f3f198ba455f,bfc1be19-894e-4bbb-ad40-61dc9d5d0f98,Lesson design,intermediate,2025-04-22 11:02:43
1e9fae77-f8f2-4178-bcc3-fc6b63a91566,c491a742-f3ce-4f15-a8a6-31f355dbac33,Robotics intro,intermediate,2025-03-12 10:59:27
1de36bd8-7cc8-4bd5-a402-847df270193e,6579fa75-a6eb-4fcd-929c-ddddc62fa483,Python for teaching,beginner,2025-07-19 19:30:58
4b723c88-592a-433e-88f5-2076b4ead8bb,10c214d8-fbed-43c3-bed6-f10e31f1cac3,STEM integration,intermediate,2025-09-08 05:09:49
ee660f52-0dd7-4a0d-81dd-daa5cdaf6aff,abcc5fd2-0252-497d-a0db-ed58e9400cb0,Excel for educators,intermediate,2025-04-12 15:28:19
3758c3a2-b348-463b-aff1-e9cef5da1276,ac783018-36d7-4a39-af72-2ce424c39e94,PowerPoint,advanced,2025-03-15 12:42:47
d283a8f3-09b7-4a4a-8bbd-9c56fb07d325,b3f69a89-4cab-47d3-9161-0ab6a705a13e,PowerPoint,intermediate,2025-08-30 07:51:11
e293326b-8199-49b8-b621-2755df79d511,2c35c2bd-3377-4729-b895-fecaf515a731,Lesson design,advanced,2025-07-21 06:01:56
3ef71029-08bf-421e-81f4-7947e75ece8c,8eacdf86-bb05-4b1e-84f9-43191fd0196e,PowerPoint,intermediate,2025-02-22 21:41:16
e323b670-451e-4ba7-9c4f-0d47a6257789,79d88784-8026-4a4d-8f42-c220d6af25b0,PowerPoint,advanced,2025-03-14 23:37:53
b9aa10e0-0e4b-4cff-9d4b-185147ea1f6f,0513a409-b48d-4f0b-bd4d-3eda6acca84f,Robotics intro,advanced,2025-09-04 10:57:25
385fbd37-0983-4d81-ba3d-6686fa118fff,726fdcbc-ea35-434c-bce6-74ca16207ebc,Digital literacy,intermediate,2025-09-03 13:27:08
ec54833b-3904-43e9-bde2-ddcd630029e4,6b221ab7-ba91-4321-8f5d-f02f2fc71340,Excel for educators,intermediate,2025-04-18 15:39:54
abb2be07-598e-4c56-b53f-07ef12517474,97b6b621-ca0d-481c-aec0-a7a2985b3915,Excel for educators,advanced,2025-07-25 07:59:17
